id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
384461,"Cliffhanger, traque au sommet",1993-05-20,582,453,47,1087,43,103,227,490,1068,1605,1049,326,63,28
413007,Doom,2005-10-20,372,365,89,816,448,879,1141,1038,765,464,182,61,13,11
399603,Astérix et les Vikings,2006-04-05,536,337,35,552,46,143,265,608,1460,1520,736,170,30,25
380672,À tombeau ouvert,1999-10-22,691,2654,42,1762,15,32,74,187,461,1035,1659,1116,345,81
419113,Rebecca,1940-03-21,767,2251,60,2336,6,8,18,47,146,505,1467,1789,746,273
383027,La Nuit américaine,1973-05-24,751,2718,56,2010,13,13,27,72,191,518,1454,1701,768,250
497597,40 ans : Mode d'emploi,2012-12-21,553,706,130,850,83,202,364,675,1081,1409,821,293,61,19
442502,The Murderer,2010-12-22,707,3197,132,1858,7,10,53,119,287,905,1867,1411,296,57
465922,Horton,2008-04-02,550,385,40,504,67,150,314,634,1091,1338,949,333,97,42
474618,Les Randonneurs,1997-03-12,524,238,16,451,98,183,412,715,1223,1449,765,152,18,1
366579,Dans la brume électrique,2009-04-15,643,1177,76,850,28,59,143,262,609,1304,1595,814,170,33
492194,Shoot'Em Up,2007-09-07,558,621,72,765,140,212,334,577,921,1233,1050,432,95,30
370578,La Rose pourpre du Caire,1985-03-01,741,2395,39,2021,4,10,27,87,213,650,1592,1617,639,188
399477,Les Dix Commandements,1956-10-05,711,1509,45,2118,14,23,37,130,420,953,1673,1139,420,220
487259,Basketball Diaries,1995-04-21,688,2756,20,1557,8,14,38,146,369,1052,1782,1174,344,109
442420,Comme des frères,2012-11-21,640,884,101,790,26,59,126,246,548,1170,1672,847,266,79
21010044,Hitman & Bodyguard,2017-08-23,593,1072,104,1199,33,76,161,354,891,1644,1326,431,84,41
407176,Peter et Elliott le Dragon,1977-11-03,616,508,20,790,40,57,126,323,870,1594,1310,521,121,80
491831,Le Cabinet du docteur Caligari,1920-02-26,771,3645,55,2370,9,21,22,53,168,464,1441,1753,793,320
487251,La Folle Histoire de l'espace,1987-06-24,629,1318,43,1263,31,87,153,329,668,1304,1481,724,179,89
455752,Evan tout-puissant,2007-06-22,407,256,27,415,275,593,986,1149,1008,697,256,67,15,8
13231839,Nos pires voisins 2,2016-05-13,491,599,52,814,107,256,521,899,1367,1176,513,159,24,32
429890,Vampires,1998-04-15,626,1119,60,1704,33,82,174,333,752,1470,1490,567,121,35
446737,Vipère au poing,2004-10-06,590,415,26,429,37,57,159,402,939,1622,1247,470,91,37
488835,After Hours,1985-10-11,740,3165,58,2030,7,12,37,68,180,655,1734,1673,531,164
479031,Appaloosa,2008-10-01,638,1276,85,1088,21,27,112,265,697,1524,1661,634,101,22
