id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,score,rank,year_release
445539,Pulp Fiction,1994-09-10,833,20703,590,33039,4226,2052,2405,2952,5243,9134,22591,46271,46478,34763,2.3276077166017073,1,1994
363185,Fight Club,1999-09-10,817,18462,752,29659,5615,2684,3127,3949,6256,10343,24351,49070,45886,34955,2.129163192584931,2,1999
471143,Inception,2010-07-14,754,17420,1217,25585,2887,2023,2909,4395,8497,16674,35502,47817,31433,19314,1.981420032302092,3,2010
388583,Interstellar,2014-11-05,784,9742,1377,28073,353,396,832,1611,3249,7267,16374,25037,22629,14310,1.871828516440129,4,2014
432630,Django Unchained,2012-12-25,783,10248,1155,26802,737,534,850,1567,3332,8840,23863,41193,28025,12057,1.7678528423592972,5,2012
419456,"The Dark Knight, le chevalier noir",2008-07-16,799,6852,636,31474,395,394,676,1284,2796,6820,17968,31842,24717,13645,1.6837176139676047,6,2008
475251,2001 : L'Odyssée de l'espace,1968-04-03,798,14058,578,24719,300,397,626,1067,2156,3766,7425,11560,10494,9261,1.6705107537095605,7,1968
480435,Mad Max : Fury Road,2015-05-13,768,5569,1132,21806,351,415,798,1512,2951,6290,13636,19158,12638,4958,1.6490650923669747,8,2015
393373,Shining,1980-05-23,813,11436,519,24649,289,254,432,910,2030,5134,14882,28820,22859,11570,1.5656998761521608,9,1980
494050,Blade Runner,1982-06-25,791,9996,547,24258,91,202,388,936,2065,4691,10046,14731,11537,7319,1.4715645461557008,10,1982
459080,Seven,1995-09-22,805,10546,402,24312,231,156,273,650,1598,4749,17489,32316,22456,9326,1.4687159614439587,11,1995
488421,Apocalypse Now,1979-08-15,830,15652,327,19109,77,80,167,369,1011,2562,7336,13532,11926,7618,1.4664499781597025,12,1979
373525,Orange mécanique,1971-12-19,800,14376,402,19413,391,356,648,1134,2050,4789,12652,22520,17536,9957,1.4114271226292912,13,1971
435660,Alien : Le 8ème Passager,1979-05-25,811,5078,428,26655,78,79,164,370,1007,3026,10069,18096,12239,5623,1.3654745469976282,14,1979
10750147,Les 8 Salopards,2015-12-25,741,9372,813,15553,159,206,432,1063,2136,5580,13105,17326,7961,2011,1.3495861563724576,15,2015
11913569,La La Land,2016-11-09,756,8596,850,15445,257,348,583,1146,2392,4800,9464,12880,9745,5128,1.3459017351852018,16,2016
11166540,The Revenant,2015-12-25,738,9235,933,14727,172,252,490,1148,2651,6391,14081,16887,8277,2289,1.3427661090237215,17,2015
1301677,Her,2013-12-18,761,10807,929,18192,194,295,596,1231,2613,6110,14337,20534,12489,4031,1.3336363114224763,18,2013
1367079,Le Voyage de Chihiro,2001-07-27,838,7984,367,22308,171,110,235,378,964,2694,9711,22555,22944,14697,1.318653644076906,19,2001
405140,Shutter Island,2010-02-19,764,10754,605,20094,568,452,825,1558,3415,8952,24673,37782,22785,9722,1.3115128243659713,20,2010
376627,Princesse Mononoké,1997-07-12,837,8137,384,21763,112,86,168,339,888,2701,8685,18414,19454,13036,1.3062574307854964,21,1997
388285,Inglourious Basterds,2009-08-20,741,12602,675,18139,2593,1660,2615,3953,7531,15755,34072,41634,22087,11404,1.294848106874899,22,2009
408443,Le Parrain,1972-03-24,846,11744,306,17758,91,93,153,328,840,2086,6995,15822,16771,10600,1.2713750247746916,23,1972
390938,Drive,2011-09-15,745,7161,1224,18413,348,554,1005,2080,4039,8531,18116,22799,12610,4797,1.270138378491617,24,2011
444625,Old Boy,2003-11-21,809,11606,405,18120,136,141,235,477,1032,2523,7567,15942,13519,5975,1.2618056040020633,25,2003
497643,The Grand Budapest Hotel,2014-03-07,778,8869,634,19189,84,125,357,699,1834,4862,14069,23598,13614,4497,1.2279067011325229,26,2014
